,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Africa,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Asia and Pacific,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Latin America,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East,Middle East
,Egypt,Egypt,Egypt,Egypt,Nigeria,Nigeria,Nigeria,Nigeria,Other,Other,Other,Other,South Africa,South Africa,South Africa,South Africa,Australia,Australia,Australia,Australia,China,China,China,China,India,India,India,India,Japan,Japan,Japan,Japan,New Zealand,New Zealand,New Zealand,New Zealand,Other,Other,Other,Other,Singapore,Singapore,Singapore,Singapore,South Korea,South Korea,South Korea,South Korea,France,France,France,France,Germany,Germany,Germany,Germany,Italy,Italy,Italy,Italy,Norway,Norway,Norway,Norway,Other,Other,Other,Other,Russia,Russia,Russia,Russia,Spain,Spain,Spain,Spain,Switzerland,Switzerland,Switzerland,Switzerland,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Argentina,Argentina,Argentina,Argentina,Brazil,Brazil,Brazil,Brazil,Chile,Chile,Chile,Chile,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Honduras,Honduras,Honduras,Honduras,Mexico,Mexico,Mexico,Mexico,Other,Other,Other,Other,Panama,Panama,Panama,Panama,Israel,Israel,Israel,Israel,Other,Other,Other,Other,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates
,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020,2017,2018,2019,2020
Direct investment position,11095,11028,11133,11206,4844,4504,6572,6811,26407,23450,19181,19460,8058,9088,9167,10023,169749,166269,161200,163466,105146,107557,113189,123875,45160,42197,41982,41904,117134,108933,128539,131643,12384,11379,11869,12903,11737,12471,12773,12238,293452,232940,260642,270807,40237,37282,38476,33888,78632,67548,88425,91153,132595,134794,151278,162387,27617,32842,28270,31093,26901,25905,24632,21484,37103,13924,12401,15717,13786,12779,13597,12538,35482,31916,35787,38533,252231,210800,192847,211936,815059,754139,830438,890086,15219,8907,9974,8730,77486,78963,80864,70742,25793,25660,24912,23011,1546,1589,2014,1988,1330,1202,1362,1111,100169,95543,98010,101057,3766,3841,4296,4263,4821,5206,5785,4583,28160,28997,32984,40437,18766,19087,19844,18832,10702,10807,11117,11386,16881,18055,18441,19468
Financial transactions,-525,-516,13,-28,1354,-291,914,171,-724,-557,-4771,1961,429,201,451,-25,-621,-3273,-3806,3745,7943,6391,7002,9329,3623,656,2581,881,9094,1550,9049,2568,469,-160,299,523,3359,738,763,-586,23369,-39799,15279,14609,668,-1664,2365,-2039,3708,1242,6360,-1012,4025,5406,16590,10841,388,7468,1905,1642,34,-375,-3811,-1714,-6943,-340,-650,4375,-1149,1208,-190,127,417,-2422,3993,1633,35815,-16449,627,16692,24590,12369,18537,39641,1898,-4412,1169,375,2351,557,-350,-3562,-1546,397,302,-952,197,234,254,201,24,-446,169,-258,5907,6456,6530,3456,34,-2,488,-103,349,612,513,-139,1235,701,3586,7068,1671,1624,639,-1286,519,243,210,359,3386,946,-547,419
Income,581,1105,794,269,523,244,674,263,784,1720,1714,730,596,493,602,496,8025,10245,9081,7348,13634,12970,11023,10714,4351,3889,3689,3594,12456,12633,12121,14899,881,483,466,707,1090,1252,1350,-1,29955,40981,34866,34309,1924,2791,2638,2513,3202,1153,2855,1598,6649,5358,7171,5502,1521,1559,1784,1131,1619,1211,1337,657,2336,7335,1133,5728,1096,1105,932,983,2936,2536,3807,3222,29532,21477,21856,17681,46875,46272,50831,41239,1811,1077,344,-157,3338,3468,4104,2109,2069,2553,2021,1430,129,143,197,140,74,96,282,54,8733,9111,9600,6508,382,399,396,316,605,578,726,45,814,803,1036,515,5505,7200,5475,2531,1165,969,872,618,1597,1399,1429,1383
