,,,,DEC,JUN,MAR,SEP
Nintendo Switch (NS),Nintendo,Europe,2015,0.0,0.0,0.0,0.0
Nintendo Switch (NS),Nintendo,Europe,2016,0.0,0.0,0.0,0.0
Nintendo Switch (NS),Nintendo,Europe,2017,679.9999999999998,840.0,0.0,490.0000000000001
Nintendo Switch (NS),Nintendo,Europe,2018,790.0,770.0000000000005,1790.0,599.9999999999997
Nintendo Switch (NS),Nintendo,Europe,2019,1599.9999999999995,859.9999999999994,2280.0000000000005,660.0000000000001
Nintendo Switch (NS),Nintendo,Europe,2020,1740.000000000002,969.9999999999987,2450.000000000001,1920.0
Nintendo Switch (NS),Nintendo,Japan,2013,0.0,0.0,0.0,0.0
Nintendo Switch (NS),Nintendo,Japan,2014,0.0,0.0,0.0,0.0
Nintendo Switch (NS),Nintendo,Japan,2015,0.0,0.0,0.0,0.0
Nintendo Switch (NS),Nintendo,Japan,2016,0.0,0.0,0.0,0.0
Nintendo Switch (NS),Nintendo,Japan,2017,950.0,650.0,0.0,420.00000000000006
Nintendo Switch (NS),Nintendo,Japan,2018,629.9999999999999,620.0000000000001,1640.0000000000002,500.0
Nintendo Switch (NS),Nintendo,Japan,2019,1780.0000000000011,1040.0,1649.9999999999995,599.9999999999997
Nintendo Switch (NS),Nintendo,Japan,2020,1259.9999999999998,1240.0000000000002,1769.9999999999995,1519.9999999999995
Nintendo Switch (NS),Nintendo,North America,2013,0.0,0.0,0.0,0.0
Nintendo Switch (NS),Nintendo,North America,2014,0.0,0.0,0.0,0.0
Nintendo Switch (NS),Nintendo,North America,2015,0.0,0.0,0.0,0.0
Nintendo Switch (NS),Nintendo,North America,2016,0.0,0.0,0.0,0.0
Nintendo Switch (NS),Nintendo,North America,2017,1090.0,1150.0,0.0,740.0
Nintendo Switch (NS),Nintendo,North America,2018,880.0000000000008,950.0000000000002,2690.0,729.9999999999995
Nintendo Switch (NS),Nintendo,North America,2019,2090.0,1410.0000000000002,3349.9999999999995,990.0000000000002
Nintendo Switch (NS),Nintendo,North America,2020,2549.9999999999973,2509.999999999998,3210.000000000001,1470.0000000000025
Nintendo Switch (NS),Nintendo,Other,2013,0.0,0.0,0.0,0.0
Nintendo Switch (NS),Nintendo,Other,2014,0.0,0.0,0.0,0.0
Nintendo Switch (NS),Nintendo,Other,2015,0.0,0.0,0.0,0.0
Nintendo Switch (NS),Nintendo,Other,2016,0.0,0.0,0.0,0.0
